127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000564
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000527
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002704
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/ajax_editor.js, HTTP/1.1, 200, 0.003516
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/typeahead.min.js, HTTP/1.1, 200, 0.000822
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001758
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002511
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003307
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001376
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/static/_2.10.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000558
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/static/_2.10.4/images/files_toggle.png, HTTP/1.1, 200, 0.000426
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/default/edit/ga_server/models/db.py, HTTP/1.1, 200, 0.052705
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074784
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/static/_2.10.4/images/save_icon.png, HTTP/1.1, 200, 0.000778
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.126910
127.0.0.1, 2015-05-07 20:41:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.194203
127.0.0.1, 2015-05-07 20:41:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.114670
127.0.0.1, 2015-05-07 20:41:23, GET, /ga_server/appadmin/hooks, HTTP/1.1, 200, 0.293702
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/default/design/ga_server, HTTP/1.1, 200, 0.160146
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000381
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.001280
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000367
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000562
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000827
127.0.0.1, 2015-05-07 20:41:50, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000554
